"","col_N","col_T","fit.np","fit.LMU","fit.npivf2","fit.npivfe"
"1",1,1,3.31571470038124,2.60187444912982,3.29259403459795,1.96678424922189
"2",1,2,0.910603851835511,0.237516014996732,1.0788951682254,0.0785327668945707
"3",1,3,0.69372280653963,-0.0216563250053444,0.914624526662514,0.000163149143967875
"4",1,4,1.96188493964431,0.736543845261108,2.41228439044348,1.72817930701824
"5",1,5,2.58345022386556,1.89309457849425,2.6021009987252,1.33650904041005
"6",1,6,0.786315670161495,0.0732370728859795,0.983911771104466,0.0125314831330023
"7",1,7,3.94560706346195,3.2174782501917,3.89036022594942,2.53154687897391
"8",1,8,7.64211142160454,6.71826070488563,7.44246158197461,5.9017738273821
"9",1,9,10.2611463960294,9.03383595061146,9.98619377649774,8.21239078511535
"10",1,10,1.482940948293,0.857561660128934,1.57952201474741,0.485587063186246
"11",1,11,5.13364468852266,4.36170927977949,5.02546654595502,3.60958442353096
"12",1,12,3.23237169201727,2.52135088428082,3.21370308045412,1.8939554488275
"13",1,13,2.4957123713594,1.80792601234609,2.51984537278024,1.26269902048541
"14",1,14,10.1554222890193,8.93968060020836,9.88332138854691,8.11760048231911
"15",1,15,3.80775550762188,3.08174135453525,3.75932945822847,2.40592087826037
"16",1,16,4.47135621016094,3.73210956216796,4.39137975848536,3.01256657010947
"17",1,17,1.10472695848989,0.478025681086999,1.24070075802551,0.218091886624827
"18",1,18,1.46555137280095,0.841172569886126,1.56364863734123,0.473281134113657
"19",1,19,16.9854755457518,15.396848896836,16.544849943036,14.73708443544
"20",1,20,4.24916763826913,3.51593709158687,4.17937440647943,2.80965933566151
"21",2,1,2.6618923666488,1.34838759614233,3.16522160085145,2.58480339380848
"22",2,2,1.35631110181416,0.241010283407606,1.74762847220702,0.963237993789288
"23",2,3,4.03022738094449,3.30085488696053,3.97085651106542,2.60898733196562
"24",2,4,1.20296158167136,0.583070718310769,1.32698132559697,0.287838081521122
"25",2,5,6.09064305821225,5.26586471089093,5.94509748785159,4.47984853080242
"26",2,6,3.38406793594773,2.66803698306276,3.35733687654247,2.02682349948797
"27",2,7,9.55667152998867,8.41082424576357,9.30088915816958,7.58638160743957
"28",2,8,4.55349081139666,3.81133422981678,4.4698507327856,3.08721454738944
"29",2,9,25.7200019408086,23.1117520062275,25.1183248859157,22.9365664746345
"30",2,10,1.35973711865917,0.739880423306269,1.46751766043259,0.398502560755413
"31",2,11,1.23607086245324,0.617063816529458,1.35642266565877,0.311225440243646
"32",2,12,2.35757359518954,1.10236637381901,2.84110791869953,2.24718702015873
"33",2,13,1.07787334691488,0.0246886944553799,1.42907901137732,0.569493793322481
"34",2,14,3.26291714917519,2.55084781491082,3.24261012633278,1.92060209002358
"35",2,15,3.02543711256649,2.32165709917654,3.01810386910069,1.71457414343008
"36",2,16,1.40482849416879,0.280792583491251,1.802005184865,1.02938131869075
"37",2,17,1.29738613664888,0.193109861706017,1.68119939119755,0.881725862781666
"38",2,18,6.1212140570053,5.29508210051093,5.9745136923139,4.50818572789521
"39",2,19,1.96429117326975,0.738696509923884,2.41490311660212,1.73131177691075
